Year,Pk,Tm,Player,College,Yrs,G,MP...8,PTS...9,TRB...10,AST...11,FG%,3P%,FT%,MP...15,PTS...16,TRB...17,AST...18,WS,WS/48,BPM,VORP,Seasons,VPS,mean_vps,median_vps,repl325_vps,VOADP_mean,VOADP_med,VOADP_repl,exp_vps_pick,VODP,exp_vps_pick_med,VODP_med
2024,1,ATL,Zaccharie Risacher,NA,1,75,1843,942,268,92,0.458,0.355,0.711,24.6,12.6,3.6,1.2,1.8,0.046,-3.5,-0.7,1,-0.7,-0.23018867924528302,-0.1,-0.3,-0.46981132075471693,-0.6,-0.39999999999999997,1.143113859646673,-1.843113859646673,0.8822822001815358,-1.5822822001815358
2024,2,WAS,Alex Sarr,NA,1,67,1814,869,435,161,0.394,0.308,0.679,27.1,13,6.5,2.4,-0.3,-0.007,-3.3,-0.6,1,-0.6,-0.23018867924528302,-0.1,-0.3,-0.36981132075471695,-0.5,-0.3,1.0604108854384655,-1.6604108854384654,0.7833289534233416,-1.3833289534233417
2024,3,HOU,Reed Sheppard,Kentucky,1,52,654,229,78,75,0.351,0.338,0.813,12.6,4.4,1.5,1.4,0.8,0.055,-1.7,0.1,1,0.1,-0.23018867924528302,-0.1,-0.3,0.33018867924528306,0.2,0.4,0.9801108851729452,-0.8801108851729452,0.6884843713470001,-0.5884843713470002
2024,4,SAS,Stephon Castle,UConn,1,81,2162,1190,297,332,0.428,0.285,0.724,26.7,14.7,3.7,4.1,1.1,0.025,-3.2,-0.6,1,-0.6,-0.23018867924528302,-0.1,-0.3,-0.36981132075471695,-0.5,-0.3,0.9026722960389979,-1.5026722960389978,0.5984087442197418,-1.1984087442197418
2024,5,DET,Ron Holland,NA,1,81,1266,522,218,82,0.474,0.238,0.754,15.6,6.4,2.7,1,1.8,0.067,-3,-0.3,1,-0.3,-0.23018867924528302,-0.1,-0.3,-0.06981132075471697,-0.19999999999999998,0,0.8285535552255102,-1.1285535552255102,0.5137623623087962,-0.8137623623087962
2024,6,CHO,Tidjane Salaün,NA,1,60,1244,353,280,74,0.33,0.283,0.713,20.7,5.9,4.7,1.2,0,0.002,-5.2,-1,1,-1,-0.23018867924528302,-0.1,-0.3,-0.769811320754717,-0.9,-0.7,0.758213099921368,-1.758213099921368,0.4352055158813938,-1.435205515881394
2024,7,POR,Donovan Clingan,UConn,1,67,1324,436,527,77,0.539,0.286,0.596,19.8,6.5,7.9,1.1,4,0.144,-0.3,0.6,1,0.6,-0.23018867924528302,-0.1,-0.3,0.8301886792452831,0.7,0.8999999999999999,0.6921093673154572,-0.09210936731545727,0.36339849520476425,0.23660150479523573
2024,8,MIN,Rob Dillingham,Kentucky,1,49,516,219,50,98,0.441,0.338,0.533,10.5,4.5,1,2,0.1,0.012,-4.2,-0.3,1,-0.3,-0.23018867924528302,-0.1,-0.3,-0.06981132075471697,-0.19999999999999998,0,0.6307007945966637,-0.9307007945966637,0.29900159054613756,-0.5990015905461376
2024,9,MEM,Zach Edey,Purdue,1,66,1416,610,548,65,0.58,0.346,0.709,21.5,9.2,8.3,1,4.9,0.165,-0.1,0.7,1,0.7,-0.23018867924528302,-0.1,-0.3,0.9301886792452829,0.7999999999999999,1,0.5744458189538743,0.1255541810461257,0.24267509217274402,0.45732490782725593
2024,10,UTA,Cody Williams,Colorado,1,50,1060,230,113,59,0.323,0.259,0.725,21.2,4.6,2.3,1.2,-1.2,-0.053,-7.3,-1.4,1,-1.4,-0.23018867924528302,-0.1,-0.3,-1.169811320754717,-1.2999999999999998,-1.0999999999999999,0.5237692646937907,-1.9237692646937905,0.19501927305448172,-1.5950192730544817
