Year,Pk,Tm,Player,College,Yrs,G,MP...7,PTS...8,TRB...9,AST...10,FG%,3P%,FT%,MP...14,PTS...15,TRB...16,AST...17,WS,WS/48,BPM,VORP
2024,1,ATL,Zaccharie Risacher,NA,1,75,1843,942,268,92,0.458,0.355,0.711,24.6,12.6,3.6,1.2,1.8,0.046,-3.5,-0.7
2024,2,WAS,Alex Sarr,NA,1,67,1814,869,435,161,0.394,0.308,0.679,27.1,13,6.5,2.4,-0.3,-0.007,-3.3,-0.6
2024,3,HOU,Reed Sheppard,Kentucky,1,52,654,229,78,75,0.351,0.338,0.813,12.6,4.4,1.5,1.4,0.8,0.055,-1.7,0.1
2024,4,SAS,Stephon Castle,UConn,1,81,2162,1190,297,332,0.428,0.285,0.724,26.7,14.7,3.7,4.1,1.1,0.025,-3.2,-0.6
2024,5,DET,Ron Holland,NA,1,81,1266,522,218,82,0.474,0.238,0.754,15.6,6.4,2.7,1,1.8,0.067,-3,-0.3
2024,6,CHO,Tidjane Salaün,NA,1,60,1244,353,280,74,0.33,0.283,0.713,20.7,5.9,4.7,1.2,0,0.002,-5.2,-1
2024,7,POR,Donovan Clingan,UConn,1,67,1324,436,527,77,0.539,0.286,0.596,19.8,6.5,7.9,1.1,4,0.144,-0.3,0.6
2024,8,MIN,Rob Dillingham,Kentucky,1,49,516,219,50,98,0.441,0.338,0.533,10.5,4.5,1,2,0.1,0.012,-4.2,-0.3
2024,9,MEM,Zach Edey,Purdue,1,66,1416,610,548,65,0.58,0.346,0.709,21.5,9.2,8.3,1,4.9,0.165,-0.1,0.7
2024,10,UTA,Cody Williams,Colorado,1,50,1060,230,113,59,0.323,0.259,0.725,21.2,4.6,2.3,1.2,-1.2,-0.053,-7.3,-1.4
2024,11,CHI,Matas Buzelis,NA,1,80,1511,688,278,79,0.454,0.361,0.815,18.9,8.6,3.5,1,1.9,0.06,-2.5,-0.2
2024,12,OKC,Nikola Topić,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,13,SAC,Devin Carter,Providence,1,36,396,138,76,41,0.37,0.295,0.591,11,3.8,2.1,1.1,0.4,0.043,-3.2,-0.1
2024,14,WAS,Bub Carrington,Pitt,1,82,2458,807,341,364,0.401,0.339,0.812,30,9.8,4.2,4.4,0.2,0.005,-4.6,-1.6
2024,15,MIA,Kelel Ware,Indiana,1,64,1422,595,473,60,0.554,0.315,0.687,22.2,9.3,7.4,0.9,4.1,0.14,-0.1,0.7
2024,16,PHI,Jared McCain,Duke,1,23,592,352,56,60,0.46,0.383,0.875,25.7,15.3,2.4,2.6,0.7,0.057,0.2,0.3
2024,17,LAL,Dalton Knecht,Tennessee,1,78,1494,706,216,66,0.461,0.376,0.762,19.2,9.1,2.8,0.8,2.7,0.086,-1.8,0.1
2024,18,ORL,Tristan Da Silva,Colorado,1,74,1629,533,245,113,0.412,0.335,0.873,22,7.2,3.3,1.5,2.5,0.073,-2.6,-0.3
2024,19,TOR,JaKobe Walter,Baylor,1,52,1103,449,160,81,0.405,0.349,0.795,21.2,8.6,3.1,1.6,1.2,0.052,-3,-0.3
2024,20,CLE,Jaylon Tyson,California,1,47,453,167,96,44,0.43,0.345,0.792,9.6,3.6,2,0.9,0.8,0.083,-2.7,-0.1
2024,21,NOP,Yves Missi,Baylor,1,73,1956,665,601,99,0.547,0,0.623,26.8,9.1,8.2,1.4,3.6,0.089,-3,-0.5
2024,22,DEN,DaRon Holmes,Dayton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,23,MIL,AJ Johnson,NA,1,29,639,220,59,76,0.385,0.267,0.865,22,7.6,2,2.6,-0.4,-0.032,-8.1,-1
2024,24,WAS,Kyshawn George,Miami (FL),1,68,1802,590,285,169,0.372,0.322,0.753,26.5,8.7,4.2,2.5,0.1,0.003,-4.1,-0.9
2024,25,NYK,Pacome Dadiet,NA,1,18,111,30,18,5,0.323,0.316,0.667,6.2,1.7,1,0.3,0,0.002,-6.5,-0.1
2024,26,OKC,Dillon Jones,Weber State,1,54,551,135,121,58,0.383,0.254,0.607,10.2,2.5,2.2,1.1,0.8,0.067,-4,-0.3
2024,27,MIN,Terrence Shannon Jr.,Illinois,1,32,339,138,47,32,0.482,0.355,0.81,10.6,4.3,1.5,1,0.6,0.091,-2.1,0
2024,28,PHO,Ryan Dunn,Virginia,1,74,1410,511,267,57,0.43,0.311,0.487,19.1,6.9,3.6,0.8,1,0.034,-4.1,-0.7
2024,29,UTA,Isaiah Collier,USC,1,71,1839,615,235,446,0.422,0.249,0.682,25.9,8.7,3.3,6.3,-0.8,-0.021,-5.3,-1.6
2024,30,BOS,Baylor Scheierman,Creighton,1,31,384,113,65,33,0.355,0.317,0.75,12.4,3.6,2.1,1.1,0.7,0.089,-1.7,0
2024,31,TOR,Jonathan Mogbo,San Francisco,1,63,1286,389,311,146,0.438,0.243,0.732,20.4,6.2,4.9,2.3,1.9,0.071,-1.9,0
2024,32,UTA,Kyle Filipowski,Duke,1,72,1522,690,440,140,0.502,0.35,0.65,21.1,9.6,6.1,1.9,2.5,0.078,-1,0.4
2024,33,MIL,Tyler Smith,NA,1,23,122,67,25,4,0.48,0.433,0.75,5.3,2.9,1.1,0.2,0.2,0.083,-0.9,0
2024,34,NYK,Tyler Kolek,Marquette,1,41,296,81,27,70,0.329,0.298,0.765,7.2,2,0.7,1.7,0.4,0.058,-2.8,-0.1
2024,35,IND,Johnny Furphy,Kansas,1,50,379,103,71,19,0.38,0.3,0.818,7.6,2.1,1.4,0.4,0.5,0.07,-2.5,0
2024,36,IND,Juan Nunez,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,37,DET,Bobi Klintman,NA,1,8,42,15,7,7,0.6,0.4,0.5,5.3,1.9,0.9,0.9,0.2,0.208,1,0
2024,38,OKC,Ajay Mitchell,UC Santa Barbara,1,36,597,234,68,64,0.495,0.383,0.829,16.6,6.5,1.9,1.8,1.5,0.122,-1.6,0.1
2024,39,MEM,Jaylen Wells,Washington State,1,79,2043,823,268,135,0.425,0.352,0.822,25.9,10.4,3.4,1.7,3.5,0.083,-2.2,-0.1
